,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
110,52.49885,13.29946,2.0,italian,185,444,3,5,4,6,0,26,2,196,9,2,11,196,0,29,11,8002
111,52.50103299999999,13.312804999999999,2.0,coffee,312,671,18,13,4,5,0,43,4,333,17,0,12,333,4,36,21,7069
112,52.506938899999994,13.304699900000001,1.0,pizza,302,652,18,6,4,8,4,47,11,318,11,3,2,318,9,22,16,7383
113,52.4497361,13.331173800000002,2.0,fooddeliveryservices,16,36,0,0,0,2,1,0,2,18,0,0,1,18,0,3,2,9873
114,52.4863799,13.319720000000002,1.0,oriental,105,224,8,2,4,10,3,11,1,112,3,5,0,112,2,9,7,7429
115,52.50336,13.31685,2.0,sushi,326,718,18,12,4,7,0,49,6,347,21,1,7,347,6,31,21,6720
116,52.502390000000005,13.312679999999999,2.0,pubs,349,744,18,13,3,6,0,53,6,369,16,1,9,369,8,38,20,7023
117,52.50546529999999,13.295284200000001,1.0,chinese,149,310,8,0,0,5,2,24,4,153,6,2,2,153,2,14,4,8043
118,52.49853100000001,13.317909,2.0,bakeries,251,547,5,14,5,6,3,34,3,266,19,0,11,266,2,26,15,6861
119,52.49683,13.323929999999999,2.0,breakfast_brunch,199,418,7,14,3,3,2,17,3,208,18,1,1,208,2,15,9,6578
120,52.50538,13.317789999999999,2.0,cocktailbars,270,570,16,9,2,4,0,40,4,280,20,2,5,280,6,28,10,6584
121,52.499577,13.305757,3.0,steak,252,551,10,8,4,6,3,39,2,272,14,0,12,272,0,32,20,7574
122,52.4735,13.3218,2.0,austrian,59,136,1,1,0,3,0,13,2,68,3,2,0,68,0,2,9,8227
123,52.50056,13.3369199,3.0,turkish,204,429,5,4,4,1,5,22,4,214,24,6,6,214,0,25,10,5605
124,52.50273000000001,13.337029999999999,1.0,steak,186,385,3,2,4,2,5,20,3,190,16,5,7,190,1,25,4,5487
125,52.468340000000005,13.3217199,2.0,bistros,89,196,4,4,2,3,0,10,2,98,4,3,1,98,2,6,9,8637
126,52.4786,13.3462,3.0,bakeries,24,51,0,0,2,3,1,2,0,25,1,1,0,25,0,2,1,6675
127,52.508809899999996,13.31691,2.0,coffee,187,391,8,6,0,1,0,30,4,194,11,2,5,194,6,21,7,6529
128,52.50444,13.31761,3.0,german,291,655,18,10,2,4,0,45,4,310,18,1,5,310,8,27,19,6630
129,52.5067146970085,13.3118478134918,1.0,korean,306,647,17,7,3,7,2,47,10,322,14,4,6,322,7,30,16,6923
130,52.51209420000001,13.310712200000001,3.0,italian,175,414,7,3,1,3,2,23,8,184,4,2,0,184,7,13,9,6852
131,52.50773,13.309054999999999,2.0,turkish,308,655,19,7,3,6,2,49,10,325,15,3,6,325,10,32,17,7075
132,52.50062,13.310529999999998,3.0,lounges,306,660,15,11,4,4,0,41,4,329,15,0,12,329,2,35,23,7230
133,52.506206000000006,13.299714000000002,2.0,burgers,256,544,20,3,3,6,4,28,9,266,10,3,2,266,6,23,10,7731
134,52.46702,13.325339999999999,2.0,cafes,92,215,5,5,1,5,1,7,2,102,2,4,1,102,3,8,10,8577
135,52.46099,13.317929999999999,2.0,antiques,63,138,1,6,3,2,1,3,5,69,1,1,0,69,0,4,6,9414
136,52.473380000000006,13.31675,4.0,tea,40,95,0,1,0,1,0,11,0,47,5,3,0,47,0,3,7,8488
137,52.50585,13.309070000000002,1.0,sportsbars,375,787,19,10,3,9,2,59,10,393,16,3,8,393,9,38,18,7132
138,52.508666343281,13.3017009945982,1.0,thai,249,522,19,1,1,6,5,37,9,258,9,3,2,258,8,21,9,7533
139,52.50479059999999,13.299162699999998,2.0,german,280,606,18,5,2,9,4,39,9,293,10,3,4,293,3,23,13,7810
140,52.496669999999995,13.30541,2.0,german,197,436,5,6,4,7,3,26,2,210,8,2,10,210,0,26,13,7720
141,52.498369999999994,13.29693,2.0,german,132,298,1,3,4,3,0,20,0,141,8,2,5,141,0,17,9,8181
142,52.5067,13.2963,1.0,cafes,168,367,9,0,1,5,5,24,5,174,6,2,2,174,3,14,6,7941
