coordinates.latitude,coordinates.longitude,rating,review_count,price,categories.0.alias
52.4635011139465,13.3320734649897,4,2,€,pizza
52.4996181,13.3019201,3,39,€,german
52.463121,13.325838,5,1,,bakeries
52.49798,13.32232,3.5,15,€€,german
52.495311400151,13.3401660248637,4.5,7,€,chinese
52.481939,13.320574,3.5,5,€,currysausage
52.50123,13.30785,4.5,8,€,icecream
52.49977,13.32332,4.5,7,€€€,pizza
52.499,13.3134,4.5,5,€€€,italian
52.46666,13.32977,3,3,€,italian
52.500415,13.3385251,5,6,€€,cafes
52.48433,13.31994,4,4,€,panasian
52.4940799,13.33827,4.5,8,€,vietnamese
52.4614540953655,13.324175997066,2,7,€,bakeries
52.4988785,13.3420296,4.5,7,€€,italian
52.44729,13.3168,4.5,3,€€,german
52.47922344171,13.3293478187321,4.5,2,,wine_bars
52.49827,13.31751,4.5,8,€€,bars
52.50097,13.34265,3,35,€€,pizza
52.468799,13.329139,5,1,,wine_bars
52.4546699892036,13.3283287460328,4,3,€€,cafes
52.4706199,13.32951,5,1,,sushi
52.4979302437021,13.3227619515826,4,7,€€,cafes
52.4325,13.3003,4,9,€€,italian
52.4646,13.3274,3,4,,bakeries
52.4648767,13.3281071,2.5,5,€,chinese
52.49755,13.31819,4,8,€€€,french
52.488406644015,13.3406222491008,3.5,10,€€,italian
52.4583,13.3248,4.5,2,,cafes
52.4573,13.321,4.5,2,€,bakeries
52.5004,13.3014,4.5,7,€€,wine_bars
52.4727427,13.3275643,5,1,,italian
52.49785,13.34175,4.5,5,,cafes
52.468928314864,13.3326717422942,5,1,,landmarks
52.45612,13.30062,4.5,2,,cafes
52.46891,13.33356,3,4,,hookah_bars
52.5003443078945,13.3365757629517,4.5,5,€€,kosher
52.4512869,13.3367604,3,7,€€,cocktailbars
52.45871,13.32215,5,1,,kebab
52.50033,13.34262,4.5,8,€€,gaybars
52.49906,13.3419399,3.5,11,€€,mideastern
52.4497361,13.3311738,3,8,€€,fooddeliveryservices
