	latitude	longitude	price	categories	others	koreanneigbours	italianneigbhours	vietnameseneigbhours	japaneseneigbhours
74	52.467411	13.321698999999999	2.0	"[{""title"":""Argentine"",""alias"":""argentine""},{""title"":""German"",""alias"":""german""}]"	34	2	4	2	1
75	52.47956	13.333689999999999	3.0	"[{""title"":""Modern European"",""alias"":""modern_european""}]"	6	0	1	0	0
76	52.4732	13.3175	2.0	"[{""title"":""German"",""alias"":""german""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	9	0	2	0	0
77	52.4962239	13.3428881	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	1	0	0	1	0
78	52.462990000000005	13.319170000000002	2.0	"[{""title"":""Italian"",""alias"":""italian""},{""title"":""Pizza"",""alias"":""pizza""}]"	33	0	3	1	2
79	52.47093960000001	13.3350601	3.0	"[{""title"":""Italian"",""alias"":""italian""}]"	20	2	4	2	0
80	52.49762	13.340570000000001	2.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	1	0	1	0	0
81	52.488624699999995	13.336727300000002	2.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	2	0	0	0	0
82	52.460277000000005	13.324592	2.0	"[{""title"":""Middle Eastern"",""alias"":""mideastern""}]"	40	1	5	0	2
83	52.45536800000001	13.326145	1.0	"[{""title"":""Italian"",""alias"":""italian""}]"	24	0	3	0	1
84	52.459680000000006	13.32281	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	37	1	6	0	2
85	52.4485	13.3064	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	2	0	0	1	0
86	52.46702	13.325339999999999	2.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""}]"	31	2	4	2	2
87	52.45349	13.315	2.0	"[{""title"":""German"",""alias"":""german""}]"	14	0	2	0	0
88	52.458156	13.321541	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	34	0	6	0	1
89	52.456925	13.319317999999999	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	31	0	5	0	1
90	52.4687	13.3325	3.0	"[{""title"":""Italian"",""alias"":""italian""}]"	31	3	4	2	1
91	52.4659002	13.3299	2.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	31	2	6	2	1
92	52.488169670790604	13.338037334748302	2.0	"[{""title"":""German"",""alias"":""german""},{""title"":""Cafes"",""alias"":""cafes""}]"	2	0	0	0	0
93	52.4679	13.3091	2.0	"[{""title"":""Italian"",""alias"":""italian""},{""title"":""Pizza"",""alias"":""pizza""}]"	1	0	0	0	0
94	52.47526	13.333110000000001	2.0	"[{""title"":""Greek"",""alias"":""greek""}]"	15	2	4	1	0
95	52.487952	13.317788	3.0	"[{""title"":""Japanese"",""alias"":""japanese""}]"	2	0	0	0	0
96	52.453942740289094	13.316589565634501	2.0	"[{""title"":""Indian"",""alias"":""indpak""}]"	19	0	3	0	0
97	52.46585	13.32971	2.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Cocktail Bars"",""alias"":""cocktailbars""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	32	2	6	2	2
98	52.452353599999995	13.320034	1.0	"[{""title"":""Italian"",""alias"":""italian""}]"	17	0	2	1	0
99	52.4859948	13.3263212	3.0	"[{""title"":""Bakeries"",""alias"":""bakeries""},{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""}]"	1	0	0	0	1
