,latitude,longitude,price,categories,otherneigbours,own_category,vietnameseneigbours,sushineigbours,pubsneigbours,pizzaneigbours,kebabneigbours,italianneigbours,icecreamneigbours,hotdogsneigbours,germanneigbours,divebarsneigbours,cocktailbarsneigbours,cafesneigbours,burgersneigbours,barsneigbours,bakeriesneigbours,distanceToMitte
712,52.5063792941827,13.3088760450482,2.0,hawaiian,479,1,22,13,4,14,6,52,10,480,22,3,10,480,10,41,21,7127
713,52.497,13.3077,2.0,cafes,298,21,10,14,7,7,1,32,3,319,13,6,9,319,0,40,17,7563
714,52.506564000000004,13.306242000000001,1.0,hotdogs,429,13,26,12,6,13,6,49,10,442,18,3,8,442,9,29,22,7294
715,52.500980000000006,13.342360000000001,2.0,german,57,4,0,0,0,2,2,6,2,61,4,3,2,61,1,9,4,5259
716,52.506519,13.314433,2.0,kebab,375,4,17,13,2,6,4,39,10,379,17,3,4,379,7,26,16,6762
717,52.50969,13.30551,2.0,icecream,317,8,19,3,4,9,7,36,8,325,13,3,4,325,9,20,12,7255
718,52.500839899999995,13.29635,1.0,panasian,244,3,12,3,4,3,2,35,0,247,10,3,7,247,2,26,7,8125
719,52.492928956531294,13.3117852714112,1.0,thai,124,1,5,3,3,5,4,14,1,125,3,2,5,125,2,11,6,7510
720,52.5058,13.3152,2.0,spanish,367,6,18,13,2,9,5,43,4,373,17,3,4,373,6,25,16,6736
721,52.4940799,13.3375299,2.0,african,94,0,4,3,0,3,3,9,2,94,5,2,1,94,0,10,5,5946
722,52.4905478014671,13.3229601177215,2.0,divebars,139,2,6,4,2,5,5,9,2,141,4,2,1,141,2,7,11,6988
723,52.5066300998691,13.304108083248101,1.0,thai,416,6,21,10,8,13,8,47,11,422,16,3,7,422,8,32,20,7431
724,52.497009999999996,13.314029999999999,2.0,greek,325,5,10,15,6,9,4,38,3,330,13,2,9,330,3,33,20,7171
725,52.480510259918795,13.312361240387,2.0,kebab,26,2,0,0,0,4,2,5,0,28,3,0,0,28,0,1,3,8216
726,52.497217000000006,13.320459,2.0,wine_bars,228,2,6,12,2,4,0,33,1,230,9,0,3,230,3,15,13,6768
727,52.498878500000004,13.3420296,2.0,italian,66,5,1,0,0,3,2,5,2,71,6,3,2,71,1,10,5,5398
728,52.472972412649604,13.3274140241774,2.0,cafes,90,9,5,3,1,4,2,11,2,99,5,4,0,99,2,10,5,7997
729,52.47541700000001,13.323904999999998,2.0,bakeries,63,5,2,2,0,3,1,9,1,68,3,3,0,68,0,6,5,7977
730,52.499222991395705,13.312975838720698,2.0,italian,324,41,13,18,8,9,1,41,3,365,15,2,9,365,3,38,20,7135
731,52.46784,13.3311,1.0,pizza,120,5,4,3,1,5,3,13,4,125,6,3,1,125,3,13,10,8252
732,52.50028516903439,13.315113866447598,3.0,spanish,406,5,22,20,8,10,1,48,3,411,13,2,11,411,4,43,21,6955
733,52.507,13.309000000000001,2.0,delicatessen,451,1,22,13,4,14,6,51,10,452,20,3,10,452,10,39,17,7100
